2023-07-01 21:33:16,551 | train | INFO | Set Logger C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_213316
2023-07-01 21:33:16,878 | train | INFO | Load data, train:42000 val:6000
2023-07-01 21:33:18,747 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2023-07-01 21:33:18,756 | train | INFO | --Train 0/3
2023-07-01 21:33:31,376 | train | INFO | batch: 0/1312 loss: 8.109232294373214e-05
2023-07-01 21:34:46,906 | train | INFO | batch: 100/1312 loss: 0.00011809007992269471
2023-07-01 21:36:05,627 | train | INFO | batch: 200/1312 loss: 0.0006577065214514732
2023-07-01 21:37:22,604 | train | INFO | batch: 300/1312 loss: 0.0007476146565750241
2023-07-01 21:38:38,792 | train | INFO | batch: 400/1312 loss: 0.0018588302191346884
2023-07-01 21:39:55,585 | train | INFO | batch: 500/1312 loss: 0.015668656677007675
2023-07-01 21:41:11,816 | train | INFO | batch: 600/1312 loss: 0.09279162436723709
2023-07-01 21:42:28,474 | train | INFO | batch: 700/1312 loss: 2.989775202877354e-05
2023-07-01 21:43:45,063 | train | INFO | batch: 800/1312 loss: 0.015094129368662834
2023-07-01 21:44:58,133 | train | INFO | batch: 900/1312 loss: 4.749474101117812e-05
2023-07-01 21:46:11,925 | train | INFO | batch: 1000/1312 loss: 0.0013024030486121774
2023-07-01 21:47:26,214 | train | INFO | batch: 1100/1312 loss: 0.03450455144047737
2023-07-01 21:48:40,018 | train | INFO | batch: 1200/1312 loss: 0.030286524444818497
2023-07-01 21:49:54,817 | train | INFO | batch: 1300/1312 loss: 0.024739587679505348
2023-07-01 21:50:05,594 | train | INFO | --Val 0/3
2023-07-01 21:50:15,576 | train | INFO | batch: 0/187 loss: 0.034647390246391296
2023-07-01 21:51:03,625 | train | INFO | batch: 100/187 loss: 0.23955047130584717
2023-07-01 21:51:44,073 | train | INFO | Write row 0
2023-07-01 21:51:45,421 | train | INFO | Early stopper, counter 0/10, best:0.9817847593582888 -> now:0.9817847593582888
2023-07-01 21:51:45,421 | train | INFO | Set counter as 0
2023-07-01 21:51:45,421 | train | INFO | Update best score as 0.9817847593582888
2023-07-01 21:51:45,629 | train | INFO | Recorder, epoch 0 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_213316\model.pt
2023-07-01 21:51:45,629 | train | INFO | --Train 1/3
2023-07-01 21:51:54,616 | train | INFO | batch: 0/1312 loss: 0.07208870351314545
2023-07-01 21:53:09,252 | train | INFO | batch: 100/1312 loss: 0.00042464357102289796
2023-07-01 21:54:25,547 | train | INFO | batch: 200/1312 loss: 0.016569873318076134
2023-07-01 21:55:40,662 | train | INFO | batch: 300/1312 loss: 0.0003098211600445211
2023-07-01 21:56:56,744 | train | INFO | batch: 400/1312 loss: 0.0007809886592440307
2023-07-01 21:58:11,489 | train | INFO | batch: 500/1312 loss: 5.062613490736112e-05
2023-07-01 21:59:25,818 | train | INFO | batch: 600/1312 loss: 5.703659189748578e-05
2023-07-01 22:00:40,240 | train | INFO | batch: 700/1312 loss: 0.00018826316227205098
2023-07-01 22:01:54,196 | train | INFO | batch: 800/1312 loss: 1.9725546735571697e-05
2023-07-01 22:03:08,029 | train | INFO | batch: 900/1312 loss: 0.0010315874824300408
2023-07-01 22:04:20,620 | train | INFO | batch: 1000/1312 loss: 0.0003069708473049104
2023-07-01 22:05:34,389 | train | INFO | batch: 1100/1312 loss: 0.0009253337047994137
2023-07-01 22:06:47,670 | train | INFO | batch: 1200/1312 loss: 8.976457320386544e-05
2023-07-01 22:08:00,944 | train | INFO | batch: 1300/1312 loss: 0.000473389052785933
2023-07-01 22:08:10,128 | train | INFO | --Val 1/3
2023-07-01 22:08:18,706 | train | INFO | batch: 0/187 loss: 0.006968049332499504
2023-07-01 22:09:03,385 | train | INFO | batch: 100/187 loss: 0.08062879741191864
2023-07-01 22:09:43,059 | train | INFO | Write row 1
2023-07-01 22:09:44,317 | train | INFO | Early stopper, counter 0/10, best:0.9857954545454546 -> now:0.9857954545454546
2023-07-01 22:09:44,317 | train | INFO | Set counter as 0
2023-07-01 22:09:44,317 | train | INFO | Update best score as 0.9857954545454546
2023-07-01 22:09:44,546 | train | INFO | Recorder, epoch 1 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_213316\model.pt
2023-07-01 22:09:44,546 | train | INFO | --Train 2/3
2023-07-01 22:09:53,666 | train | INFO | batch: 0/1312 loss: 0.002134339651092887
2023-07-01 22:11:08,253 | train | INFO | batch: 100/1312 loss: 0.003311596345156431
2023-07-01 22:12:22,635 | train | INFO | batch: 200/1312 loss: 0.003608609549701214
2023-07-01 22:13:38,324 | train | INFO | batch: 300/1312 loss: 0.00026094180066138506
2023-07-01 22:14:52,373 | train | INFO | batch: 400/1312 loss: 0.00022013254056219012
2023-07-01 22:16:06,524 | train | INFO | batch: 500/1312 loss: 1.2616532330866903e-05
2023-07-01 22:17:20,385 | train | INFO | batch: 600/1312 loss: 0.0003699282242450863
2023-07-01 22:18:33,875 | train | INFO | batch: 700/1312 loss: 0.011911023408174515
2023-07-01 22:19:47,411 | train | INFO | batch: 800/1312 loss: 0.10306201130151749
2023-07-01 22:21:00,260 | train | INFO | batch: 900/1312 loss: 0.0005452241748571396
2023-07-01 22:22:12,706 | train | INFO | batch: 1000/1312 loss: 0.0007041586795821786
2023-07-01 22:23:25,126 | train | INFO | batch: 1100/1312 loss: 0.0013349872315302491
2023-07-01 22:24:38,193 | train | INFO | batch: 1200/1312 loss: 0.0006412130896933377
2023-07-01 22:25:50,810 | train | INFO | batch: 1300/1312 loss: 0.0008808242855593562
2023-07-01 22:26:00,060 | train | INFO | --Val 2/3
2023-07-01 22:26:08,566 | train | INFO | batch: 0/187 loss: 0.06102179363369942
2023-07-01 22:26:53,187 | train | INFO | batch: 100/187 loss: 0.17877954244613647
2023-07-01 22:27:33,476 | train | INFO | Write row 2
2023-07-01 22:27:34,781 | train | INFO | Early stopper, counter 1/10, best:0.9857954545454546 -> now:0.984792780748663
2023-07-01 22:27:35,014 | train | INFO | Recorder, epoch 2 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_213316\model.pt
