2023-07-01 16:27:03,038 | train | INFO | Set Logger C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_162702
2023-07-01 16:27:03,380 | train | INFO | Load data, train:42000 val:6000
2023-07-01 16:27:05,037 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2023-07-01 16:27:05,045 | train | INFO | --Train 0/5
2023-07-01 16:27:17,438 | train | INFO | batch: 0/1312 loss: 0.00041212691576220095
2023-07-01 16:28:33,275 | train | INFO | batch: 100/1312 loss: 0.0004037053440697491
2023-07-01 16:29:51,587 | train | INFO | batch: 200/1312 loss: 0.0008078193059191108
2023-07-01 16:31:08,254 | train | INFO | batch: 300/1312 loss: 0.0052814544178545475
2023-07-01 16:32:23,812 | train | INFO | batch: 400/1312 loss: 0.0013442581985145807
2023-07-01 16:33:40,340 | train | INFO | batch: 500/1312 loss: 0.0030106110498309135
2023-07-01 16:34:56,104 | train | INFO | batch: 600/1312 loss: 8.984841406345367e-05
2023-07-01 16:36:12,120 | train | INFO | batch: 700/1312 loss: 0.00020463440159801394
2023-07-01 16:37:26,568 | train | INFO | batch: 800/1312 loss: 0.00042274751467630267
2023-07-01 16:38:40,134 | train | INFO | batch: 900/1312 loss: 0.0010556332999840379
2023-07-01 16:39:53,368 | train | INFO | batch: 1000/1312 loss: 0.0015288714785128832
2023-07-01 16:41:07,073 | train | INFO | batch: 1100/1312 loss: 0.014786658808588982
2023-07-01 16:42:20,619 | train | INFO | batch: 1200/1312 loss: 0.0020342357456684113
2023-07-01 16:43:33,016 | train | INFO | batch: 1300/1312 loss: 0.02356760762631893
2023-07-01 16:43:42,314 | train | INFO | --Val 0/5
2023-07-01 16:43:50,928 | train | INFO | batch: 0/187 loss: 0.005676219239830971
2023-07-01 16:44:36,656 | train | INFO | batch: 100/187 loss: 0.009924267418682575
2023-07-01 16:45:17,804 | train | INFO | Write row 0
2023-07-01 16:45:19,149 | train | INFO | Early stopper, counter 0/10, best:0.9822860962566845 -> now:0.9822860962566845
2023-07-01 16:45:19,149 | train | INFO | Set counter as 0
2023-07-01 16:45:19,149 | train | INFO | Update best score as 0.9822860962566845
2023-07-01 16:45:19,381 | train | INFO | Recorder, epoch 0 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_162702\model.pt
2023-07-01 16:45:19,382 | train | INFO | --Train 1/5
2023-07-01 16:45:28,377 | train | INFO | batch: 0/1312 loss: 0.005610938183963299
2023-07-01 16:46:41,559 | train | INFO | batch: 100/1312 loss: 0.027454067021608353
2023-07-01 16:47:57,652 | train | INFO | batch: 200/1312 loss: 0.0003309698367957026
2023-07-01 16:49:13,487 | train | INFO | batch: 300/1312 loss: 5.538383993552998e-05
2023-07-01 16:50:29,401 | train | INFO | batch: 400/1312 loss: 0.0004053173470310867
2023-07-01 16:51:45,392 | train | INFO | batch: 500/1312 loss: 0.0033564292825758457
2023-07-01 16:53:00,046 | train | INFO | batch: 600/1312 loss: 0.001108517637476325
2023-07-01 16:54:15,248 | train | INFO | batch: 700/1312 loss: 9.310129098594189e-05
2023-07-01 16:55:30,196 | train | INFO | batch: 800/1312 loss: 0.0008282569469884038
2023-07-01 16:56:44,693 | train | INFO | batch: 900/1312 loss: 5.184319888940081e-05
2023-07-01 16:57:58,140 | train | INFO | batch: 1000/1312 loss: 0.002778158988803625
2023-07-01 16:59:12,579 | train | INFO | batch: 1100/1312 loss: 0.006695409305393696
2023-07-01 17:00:26,747 | train | INFO | batch: 1200/1312 loss: 0.0002350086870137602
2023-07-01 17:01:40,054 | train | INFO | batch: 1300/1312 loss: 0.0019678331445902586
2023-07-01 17:01:49,461 | train | INFO | --Val 1/5
2023-07-01 17:01:58,003 | train | INFO | batch: 0/187 loss: 0.009455944411456585
2023-07-01 17:02:43,597 | train | INFO | batch: 100/187 loss: 0.07778657972812653
2023-07-01 17:03:24,024 | train | INFO | Write row 1
2023-07-01 17:03:25,482 | train | INFO | Early stopper, counter 0/10, best:0.9862967914438503 -> now:0.9862967914438503
2023-07-01 17:03:25,482 | train | INFO | Set counter as 0
2023-07-01 17:03:25,482 | train | INFO | Update best score as 0.9862967914438503
2023-07-01 17:03:25,724 | train | INFO | Recorder, epoch 1 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_162702\model.pt
2023-07-01 17:03:25,724 | train | INFO | --Train 2/5
2023-07-01 17:03:34,998 | train | INFO | batch: 0/1312 loss: 0.003943972755223513
2023-07-01 17:04:49,823 | train | INFO | batch: 100/1312 loss: 0.0004321527376305312
2023-07-01 17:06:05,172 | train | INFO | batch: 200/1312 loss: 0.0019753072410821915
2023-07-01 17:07:22,030 | train | INFO | batch: 300/1312 loss: 0.0005218370934017003
2023-07-01 17:08:39,475 | train | INFO | batch: 400/1312 loss: 0.0036056956741958857
2023-07-01 17:09:55,607 | train | INFO | batch: 500/1312 loss: 0.0011676899157464504
2023-07-01 17:11:12,001 | train | INFO | batch: 600/1312 loss: 0.0003211268049199134
2023-07-01 17:12:27,238 | train | INFO | batch: 700/1312 loss: 0.00335315172560513
2023-07-01 17:13:43,093 | train | INFO | batch: 800/1312 loss: 0.0016409867675974965
2023-07-01 17:14:57,568 | train | INFO | batch: 900/1312 loss: 0.015707112848758698
2023-07-01 17:16:11,709 | train | INFO | batch: 1000/1312 loss: 0.0026292717084288597
2023-07-01 17:17:25,785 | train | INFO | batch: 1100/1312 loss: 1.3443330317386426e-05
2023-07-01 17:18:40,691 | train | INFO | batch: 1200/1312 loss: 0.00014904621639288962
2023-07-01 17:19:54,464 | train | INFO | batch: 1300/1312 loss: 0.001951041049323976
2023-07-01 17:20:03,846 | train | INFO | --Val 2/5
2023-07-01 17:20:12,556 | train | INFO | batch: 0/187 loss: 0.008212035521864891
2023-07-01 17:20:58,275 | train | INFO | batch: 100/187 loss: 0.019326817244291306
2023-07-01 17:21:38,762 | train | INFO | Write row 2
2023-07-01 17:21:40,124 | train | INFO | Early stopper, counter 0/10, best:0.9864639037433155 -> now:0.9864639037433155
2023-07-01 17:21:40,124 | train | INFO | Set counter as 0
2023-07-01 17:21:40,124 | train | INFO | Update best score as 0.9864639037433155
2023-07-01 17:21:40,359 | train | INFO | Recorder, epoch 2 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_162702\model.pt
2023-07-01 17:21:40,359 | train | INFO | --Train 3/5
2023-07-01 17:21:50,019 | train | INFO | batch: 0/1312 loss: 0.0012984740315005183
2023-07-01 17:23:06,001 | train | INFO | batch: 100/1312 loss: 0.01150224544107914
2023-07-01 17:24:22,280 | train | INFO | batch: 200/1312 loss: 0.0040037743747234344
2023-07-01 17:25:38,165 | train | INFO | batch: 300/1312 loss: 0.0010393973207101226
2023-07-01 17:26:53,077 | train | INFO | batch: 400/1312 loss: 0.0038965228013694286
2023-07-01 17:28:10,744 | train | INFO | batch: 500/1312 loss: 0.000624428445007652
2023-07-01 17:29:25,925 | train | INFO | batch: 600/1312 loss: 0.0016677755629643798
2023-07-01 17:30:40,863 | train | INFO | batch: 700/1312 loss: 0.002239110879600048
2023-07-01 17:31:55,781 | train | INFO | batch: 800/1312 loss: 0.0400799997150898
2023-07-01 17:33:09,471 | train | INFO | batch: 900/1312 loss: 0.0006798341637477279
2023-07-01 17:34:23,920 | train | INFO | batch: 1000/1312 loss: 6.586278323084116e-05
2023-07-01 17:35:36,455 | train | INFO | batch: 1100/1312 loss: 0.0006179146585054696
2023-07-01 17:36:49,818 | train | INFO | batch: 1200/1312 loss: 0.0005846548592671752
2023-07-01 17:38:04,209 | train | INFO | batch: 1300/1312 loss: 0.0016423991182819009
2023-07-01 17:38:14,145 | train | INFO | --Val 3/5
2023-07-01 17:38:23,064 | train | INFO | batch: 0/187 loss: 0.0019233826315030456
2023-07-01 17:39:11,029 | train | INFO | batch: 100/187 loss: 0.07419519126415253
2023-07-01 17:39:53,485 | train | INFO | Write row 3
2023-07-01 17:39:54,924 | train | INFO | Early stopper, counter 0/10, best:0.9866310160427807 -> now:0.9866310160427807
2023-07-01 17:39:54,924 | train | INFO | Set counter as 0
2023-07-01 17:39:54,925 | train | INFO | Update best score as 0.9866310160427807
2023-07-01 17:39:55,131 | train | INFO | Recorder, epoch 3 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_162702\model.pt
2023-07-01 17:39:55,131 | train | INFO | --Train 4/5
2023-07-01 17:40:04,675 | train | INFO | batch: 0/1312 loss: 0.0012692632153630257
2023-07-01 17:41:25,112 | train | INFO | batch: 100/1312 loss: 0.000117439754831139
2023-07-01 17:42:49,577 | train | INFO | batch: 200/1312 loss: 4.246863682055846e-05
2023-07-01 17:44:09,164 | train | INFO | batch: 300/1312 loss: 0.0007915344322100282
2023-07-01 17:45:25,436 | train | INFO | batch: 400/1312 loss: 0.001720120431855321
2023-07-01 17:46:40,044 | train | INFO | batch: 500/1312 loss: 0.04805368930101395
2023-07-01 17:47:59,381 | train | INFO | batch: 600/1312 loss: 0.001898651011288166
2023-07-01 17:49:18,230 | train | INFO | batch: 700/1312 loss: 9.916871931636706e-05
2023-07-01 17:50:34,390 | train | INFO | batch: 800/1312 loss: 0.006331847980618477
2023-07-01 17:51:48,394 | train | INFO | batch: 900/1312 loss: 0.0013790265657007694
2023-07-01 17:53:03,736 | train | INFO | batch: 1000/1312 loss: 0.005005022510886192
2023-07-01 17:54:18,390 | train | INFO | batch: 1100/1312 loss: 0.03720644488930702
2023-07-01 17:55:31,431 | train | INFO | batch: 1200/1312 loss: 0.025253206491470337
2023-07-01 17:56:45,410 | train | INFO | batch: 1300/1312 loss: 0.12742237746715546
2023-07-01 17:56:54,795 | train | INFO | --Val 4/5
2023-07-01 17:57:04,740 | train | INFO | batch: 0/187 loss: 0.013526912778615952
2023-07-01 17:57:50,474 | train | INFO | batch: 100/187 loss: 0.17227397859096527
2023-07-01 17:58:32,021 | train | INFO | Write row 4
2023-07-01 17:58:33,384 | train | INFO | Early stopper, counter 1/10, best:0.9866310160427807 -> now:0.9809491978609626
2023-07-01 17:58:33,609 | train | INFO | Recorder, epoch 4 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_162702\model.pt
