2023-07-02 02:27:00,291 | train | INFO | Set Logger C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230702_022700
2023-07-02 02:27:00,618 | train | INFO | Load data, train:42000 val:6000
2023-07-02 02:27:00,965 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2023-07-02 02:27:00,976 | train | INFO | --Train 0/20
2023-07-02 02:27:14,972 | train | INFO | batch: 0/1312 loss: 0.7127135396003723
2023-07-02 02:28:42,001 | train | INFO | batch: 100/1312 loss: 0.1718115210533142
2023-07-02 02:30:10,533 | train | INFO | batch: 200/1312 loss: 0.15205250680446625
2023-07-02 02:31:38,584 | train | INFO | batch: 300/1312 loss: 0.3349027931690216
2023-07-02 02:33:04,584 | train | INFO | batch: 400/1312 loss: 0.08958257734775543
2023-07-02 02:34:31,267 | train | INFO | batch: 500/1312 loss: 0.1707027405500412
2023-07-02 02:35:57,769 | train | INFO | batch: 600/1312 loss: 0.12029905617237091
2023-07-02 02:37:24,167 | train | INFO | batch: 700/1312 loss: 0.06870916485786438
2023-07-02 02:38:49,755 | train | INFO | batch: 800/1312 loss: 0.07813894748687744
2023-07-02 02:40:13,977 | train | INFO | batch: 900/1312 loss: 0.026589279994368553
2023-07-02 02:41:39,071 | train | INFO | batch: 1000/1312 loss: 0.053769953548908234
2023-07-02 02:43:07,127 | train | INFO | batch: 1100/1312 loss: 0.32983922958374023
2023-07-02 02:44:33,604 | train | INFO | batch: 1200/1312 loss: 0.29989397525787354
2023-07-02 02:45:59,963 | train | INFO | batch: 1300/1312 loss: 0.2195490002632141
2023-07-02 02:46:10,865 | train | INFO | --Val 0/20
2023-07-02 02:46:20,803 | train | INFO | batch: 0/187 loss: 0.02307569980621338
2023-07-02 02:47:08,998 | train | INFO | batch: 100/187 loss: 0.1011471152305603
2023-07-02 02:47:51,124 | train | INFO | Write row 0
2023-07-02 02:47:52,478 | train | INFO | Early stopper, counter 0/10, best:0.9747660427807486 -> now:0.9747660427807486
2023-07-02 02:47:52,478 | train | INFO | Set counter as 0
2023-07-02 02:47:52,478 | train | INFO | Update best score as 0.9747660427807486
2023-07-02 02:47:52,717 | train | INFO | Recorder, epoch 0 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230702_022700\model.pt
2023-07-02 02:47:52,718 | train | INFO | --Train 1/20
2023-07-02 02:48:01,995 | train | INFO | batch: 0/1312 loss: 0.07845062017440796
2023-07-02 02:49:29,679 | train | INFO | batch: 100/1312 loss: 0.028250427916646004
2023-07-02 02:50:59,882 | train | INFO | batch: 200/1312 loss: 0.040845952928066254
2023-07-02 02:52:31,138 | train | INFO | batch: 300/1312 loss: 0.023679442703723907
2023-07-02 02:53:58,488 | train | INFO | batch: 400/1312 loss: 0.1068592369556427
2023-07-02 02:55:25,233 | train | INFO | batch: 500/1312 loss: 0.05475575849413872
2023-07-02 02:56:50,520 | train | INFO | batch: 600/1312 loss: 0.02885402739048004
2023-07-02 02:58:16,756 | train | INFO | batch: 700/1312 loss: 0.08722049742937088
2023-07-02 02:59:42,284 | train | INFO | batch: 800/1312 loss: 0.01579000987112522
2023-07-02 03:01:07,851 | train | INFO | batch: 900/1312 loss: 0.010702069848775864
2023-07-02 03:02:32,643 | train | INFO | batch: 1000/1312 loss: 0.06257167458534241
2023-07-02 03:03:58,303 | train | INFO | batch: 1100/1312 loss: 0.02085244096815586
2023-07-02 03:05:23,980 | train | INFO | batch: 1200/1312 loss: 0.0911998301744461
2023-07-02 03:06:48,903 | train | INFO | batch: 1300/1312 loss: 0.012262876145541668
