2023-07-05 10:35:01,553 | train | INFO | Set Logger C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230705_103501
2023-07-05 10:35:01,899 | train | INFO | Load data, train:57000 val:1000
2023-07-05 10:35:03,630 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2023-07-05 10:35:03,639 | train | INFO | --Train 0/5
2023-07-05 10:35:15,915 | train | INFO | batch: 0/1781 loss: 0.0018043601885437965
2023-07-05 10:36:32,760 | train | INFO | batch: 100/1781 loss: 0.0002429510495858267
2023-07-05 10:37:52,546 | train | INFO | batch: 200/1781 loss: 0.04944206774234772
2023-07-05 10:39:09,306 | train | INFO | batch: 300/1781 loss: 0.0002853304904419929
2023-07-05 10:40:25,070 | train | INFO | batch: 400/1781 loss: 0.0033129940275102854
2023-07-05 10:41:39,710 | train | INFO | batch: 500/1781 loss: 0.029545050114393234
2023-07-05 10:42:55,368 | train | INFO | batch: 600/1781 loss: 0.000592350319493562
2023-07-05 10:44:10,390 | train | INFO | batch: 700/1781 loss: 0.0031381554435938597
2023-07-05 10:45:24,813 | train | INFO | batch: 800/1781 loss: 0.037543509155511856
2023-07-05 10:46:38,954 | train | INFO | batch: 900/1781 loss: 0.007110713981091976
2023-07-05 10:47:53,240 | train | INFO | batch: 1000/1781 loss: 0.0017417585477232933
2023-07-05 10:49:07,252 | train | INFO | batch: 1100/1781 loss: 0.03148448467254639
2023-07-05 10:50:22,826 | train | INFO | batch: 1200/1781 loss: 0.006654011085629463
2023-07-05 10:51:36,739 | train | INFO | batch: 1300/1781 loss: 0.003298560855910182
2023-07-05 10:52:50,724 | train | INFO | batch: 1400/1781 loss: 0.002714592032134533
2023-07-05 10:54:04,386 | train | INFO | batch: 1500/1781 loss: 0.009967944584786892
2023-07-05 10:55:19,171 | train | INFO | batch: 1600/1781 loss: 0.0004884697264060378
2023-07-05 10:56:32,214 | train | INFO | batch: 1700/1781 loss: 0.019941633567214012
2023-07-05 10:57:32,647 | train | INFO | --Val 0/5
2023-07-05 10:57:42,884 | train | INFO | batch: 0/31 loss: 0.0002173378597944975
2023-07-05 10:57:58,129 | train | INFO | Write row 0
2023-07-05 10:57:59,476 | train | INFO | Early stopper, counter 0/10, best:1.0 -> now:1.0
2023-07-05 10:57:59,476 | train | INFO | Set counter as 0
2023-07-05 10:57:59,476 | train | INFO | Update best score as 1.0
2023-07-05 10:57:59,714 | train | INFO | Recorder, epoch 0 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230705_103501\model.pt
2023-07-05 10:57:59,714 | train | INFO | --Train 1/5
2023-07-05 10:58:08,700 | train | INFO | batch: 0/1781 loss: 0.022708803415298462
2023-07-05 10:59:22,386 | train | INFO | batch: 100/1781 loss: 0.00018870412895921618
