2023-07-01 13:07:35,705 | train | INFO | Set Logger C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_130735
2023-07-01 13:07:36,040 | train | INFO | Load data, train:42000 val:6000
2023-07-01 13:07:37,680 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2023-07-01 13:07:37,691 | train | INFO | --Train 0/5
2023-07-01 13:07:53,454 | train | INFO | batch: 0/1312 loss: 0.0003949043166358024
2023-07-01 13:09:46,842 | train | INFO | batch: 100/1312 loss: 0.002745333593338728
2023-07-01 13:11:33,630 | train | INFO | batch: 200/1312 loss: 0.006342013366520405
2023-07-01 13:13:14,263 | train | INFO | batch: 300/1312 loss: 0.00017806138203013688
2023-07-01 13:14:50,013 | train | INFO | batch: 400/1312 loss: 0.001459780614823103
2023-07-01 13:16:22,655 | train | INFO | batch: 500/1312 loss: 0.01692240685224533
2023-07-01 13:17:50,456 | train | INFO | batch: 600/1312 loss: 0.003116871230304241
2023-07-01 13:19:14,746 | train | INFO | batch: 700/1312 loss: 0.0015133337583392859
2023-07-01 13:20:35,168 | train | INFO | batch: 800/1312 loss: 0.002454661065712571
2023-07-01 13:21:52,241 | train | INFO | batch: 900/1312 loss: 0.00036951329093426466
2023-07-01 13:23:07,883 | train | INFO | batch: 1000/1312 loss: 0.0014215254923328757
2023-07-01 13:24:22,701 | train | INFO | batch: 1100/1312 loss: 0.0052857608534395695
2023-07-01 13:25:36,014 | train | INFO | batch: 1200/1312 loss: 0.0017896785866469145
2023-07-01 13:26:47,869 | train | INFO | batch: 1300/1312 loss: 0.06668581813573837
2023-07-01 13:26:57,151 | train | INFO | --Val 0/5
2023-07-01 13:27:05,937 | train | INFO | batch: 0/187 loss: 0.003050085622817278
2023-07-01 13:28:33,146 | train | INFO | batch: 100/187 loss: 0.011820986866950989
2023-07-01 13:29:49,227 | train | INFO | Write row 0
2023-07-01 13:29:50,613 | train | INFO | Early stopper, counter 0/10, best:0.9824532085561497 -> now:0.9824532085561497
2023-07-01 13:29:50,613 | train | INFO | Set counter as 0
2023-07-01 13:29:50,613 | train | INFO | Update best score as 0.9824532085561497
2023-07-01 13:29:50,817 | train | INFO | Recorder, epoch 0 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230701_130735\model.pt
2023-07-01 13:29:50,817 | train | INFO | --Train 1/5
2023-07-01 13:29:59,741 | train | INFO | batch: 0/1312 loss: 0.00808114092797041
2023-07-01 13:31:13,927 | train | INFO | batch: 100/1312 loss: 0.009629550389945507
2023-07-01 13:32:30,755 | train | INFO | batch: 200/1312 loss: 0.04252410680055618
2023-07-01 13:33:46,823 | train | INFO | batch: 300/1312 loss: 0.00038582851993851364
2023-07-01 13:35:02,314 | train | INFO | batch: 400/1312 loss: 0.0011612745001912117
2023-07-01 13:36:16,947 | train | INFO | batch: 500/1312 loss: 0.000703497149515897
2023-07-01 13:37:31,176 | train | INFO | batch: 600/1312 loss: 0.000779300055000931
2023-07-01 13:38:46,015 | train | INFO | batch: 700/1312 loss: 0.011707110330462456
2023-07-01 13:40:00,385 | train | INFO | batch: 800/1312 loss: 0.0010128585854545236
2023-07-01 13:41:14,325 | train | INFO | batch: 900/1312 loss: 0.018337354063987732
2023-07-01 13:42:27,851 | train | INFO | batch: 1000/1312 loss: 0.005293083842843771
2023-07-01 13:43:42,153 | train | INFO | batch: 1100/1312 loss: 0.02787279710173607
2023-07-01 13:44:55,911 | train | INFO | batch: 1200/1312 loss: 0.002120101358741522
2023-07-01 13:46:09,266 | train | INFO | batch: 1300/1312 loss: 0.004735040944069624
